BUYER_STATE,year,population
AL,2009,4633360
AK,2009,683142
AZ,2009,6324865
AR,2009,2838143
CA,2009,36308527
CO,2009,4843211
CT,2009,3494487
DE,2009,863832
DC,2009,588433
FL,2009,18222420
GA,2009,9497667
HI,2009,1280241
ID,2009,1492573
IL,2009,12785043
IN,2009,6342469
IA,2009,2978880
KS,2009,2777835
KY,2009,4252000
LA,2009,4411546
ME,2009,1316380
MD,2009,5637418
MA,2009,6511176
MI,2009,10039208
MN,2009,5188581
MS,2009,2922240
MO,2009,5904382
MT,2009,956257
NE,2009,1772124
NV,2009,2545763
NH,2009,1315419
NJ,2009,8650548
NM,2009,1964860
NY,2009,19423896
NC,2009,9045705
ND,2009,639725
OH,2009,11511858
OK,2009,3610073
OR,2009,3727407
PA,2009,12516596
RI,2009,1057381
SC,2009,4416867
SD,2009,796513
TN,2009,6158953
TX,2009,23819042
UT,2009,2651816
VT,2009,620414
VA,2009,7721730
WA,2009,6465755
WV,2009,1811403
WI,2009,5599420
WY,2009,523949
AL,2010,4712651
AK,2010,691189
AZ,2010,6246816
AR,2010,2872684
CA,2010,36637290
CO,2010,4887061
CT,2010,3545837
DE,2010,881278
DC,2010,584400
FL,2010,18511620
GA,2010,9468815
HI,2010,1333591
ID,2010,1526797
IL,2010,12745359
IN,2010,6417398
IA,2010,3016267
KS,2010,2809329
KY,2010,4285828
LA,2010,4429940
ME,2010,1327665
MD,2010,5696423
MA,2010,6477096
MI,2010,9952687
MN,2010,5241914
MS,2010,2941991
MO,2010,5922314
MT,2010,973739
NE,2010,1799125
NV,2010,2633331
NH,2010,1313939
NJ,2010,8721577
NM,2010,2013122
NY,2010,19229752
NC,2010,9271178
ND,2010,659858
OH,2010,11512431
OK,2010,3675339
OR,2010,3761925
PA,2010,12612705
RI,2010,1056389
SC,2010,4511428
SD,2010,799462
TN,2010,6234968
TX,2010,24311891
UT,2010,2657236
VT,2010,624258
VA,2010,7841754
WA,2010,6561297
WV,2010,1840802
WI,2010,5637947
WY,2010,545579
AL,2011,4747424
AK,2011,700703
AZ,2011,6337373
AR,2011,2895928
CA,2011,36969200
CO,2011,4966061
CT,2011,3558172
DE,2011,890856
DC,2011,593955
FL,2011,18688787
GA,2011,9600612
HI,2011,1346554
ID,2011,1549987
IL,2011,12790182
IN,2011,6454254
IA,2011,3032266
KS,2011,2830985
KY,2011,4316040
LA,2011,4484596
ME,2011,1328543
MD,2011,5736545
MA,2011,6512227
MI,2011,9920621
MN,2011,5278190
MS,2011,2956700
MO,2011,5955802
MT,2011,982854
NE,2011,1813061
NV,2011,2673396
NH,2011,1315911
NJ,2011,8753064
NM,2011,2037136
NY,2011,19302448
NC,2011,9418736
ND,2011,666783
OH,2011,11525536
OK,2011,3714520
OR,2011,3801991
PA,2011,12660739
RI,2011,1053959
SC,2011,4575864
SD,2011,807697
TN,2011,6297991
TX,2011,24774187
UT,2011,2715379
VT,2011,624958
VA,2011,7926192
WA,2011,6652845
WV,2011,1846372
WI,2011,5664893
WY,2011,554697
AL,2012,4777326
AK,2012,711139
AZ,2012,6410979
AR,2012,2916372
CA,2012,37325068
CO,2012,5042853
CT,2012,3572213
DE,2012,900131
DC,2012,605759
FL,2012,18885152
GA,2012,9714569
HI,2012,1362730
ID,2012,1567803
IL,2012,12823860
IN,2012,6485530
IA,2012,3047646
KS,2012,2851183
KY,2012,4340167
LA,2012,4529605
ME,2012,1329084
MD,2012,5785496
MA,2012,6560595
MI,2012,9897264
MN,2012,5313081
MS,2012,2967620
MO,2012,5982413
MT,2012,990785
NE,2012,1827306
NV,2012,2704204
NH,2012,1317474
NJ,2012,8793888
NM,2012,2055287
NY,2012,19398125
NC,2012,9544249
ND,2012,676253
OH,2012,11533561
OK,2012,3749005
OR,2012,3836628
PA,2012,12699589
RI,2012,1052471
SC,2012,4630351
SD,2012,815871
TN,2012,6353226
TX,2012,25208897
UT,2012,2766233
VT,2012,625498
VA,2012,8014955
WA,2012,6738714
WV,2012,1850481
WI,2012,5687219
WY,2012,562803
AL,2006,4628981
AK,2006,675302
AZ,2006,6029141
AR,2006,2821761
CA,2006,36021202
CO,2006,4720423
CT,2006,3517460
DE,2006,859268
DC,2006,570681
FL,2006,18166990
GA,2006,9155813
HI,2006,1309731
ID,2006,1468669
IL,2006,12643955
IN,2006,6332669
IA,2006,2982644
KS,2006,2762931
KY,2006,4219239
LA,2006,4302665
ME,2006,1323619
MD,2006,5627367
MA,2006,6410084
MI,2006,10036081
MN,2006,5163555
MS,2006,2904978
MO,2006,5842704
MT,2006,952692
NE,2006,1772693
NV,2006,2522658
NH,2006,1308389
NJ,2006,8661679
NM,2006,1962137
NY,2006,19104631
NC,2006,8917270
ND,2006,649422
OH,2006,11481213
OK,2006,3594090
OR,2006,3670883
PA,2006,12510809
RI,2006,1063096
SC,2006,4357847
SD,2006,783033
TN,2006,6088766
TX,2006,23359580
UT,2006,2525507
VT,2006,622892
VA,2006,7673725
WA,2006,6370753
WV,2006,1827912
WI,2006,5577655
WY,2006,522667
AL,2007,4672840
AK,2007,680300
AZ,2007,6167681
AR,2007,2848650
CA,2007,36250311
CO,2007,4803868
CT,2007,3527270
DE,2007,871749
DC,2007,574404
FL,2007,18367842
GA,2007,9349988
HI,2007,1315675
ID,2007,1505105
IL,2007,12695866
IN,2007,6379599
IA,2007,2999212
KS,2007,2783785
KY,2007,4256672
LA,2007,4375581
ME,2007,1327040
MD,2007,5653408
MA,2007,6431559
MI,2007,10001284
MN,2007,5207203
MS,2007,2928350
MO,2007,5887612
MT,2007,964706
NE,2007,1783440
NV,2007,2601072
NH,2007,1312540
NJ,2007,8677885
NM,2007,1990070
NY,2007,19132335
NC,2007,9118037
ND,2007,652822
OH,2007,11500468
OK,2007,3634349
OR,2007,3722417
PA,2007,12563937
RI,2007,1057315
SC,2007,4444110
SD,2007,791623
TN,2007,6175727
TX,2007,23831983
UT,2007,2597746
VT,2007,623481
VA,2007,7751000
WA,2007,6461587
WV,2007,1834052
WI,2007,5610775
WY,2007,534876
AL,2008,4718206
AK,2008,687455
AZ,2008,6280362
AR,2008,2874554
CA,2008,36604337
CO,2008,4889730
CT,2008,3545579
DE,2008,883874
DC,2008,580236
FL,2008,18527305
GA,2008,9504843
HI,2008,1332213
ID,2008,1534320
IL,2008,12747038
IN,2008,6424806
IA,2008,3016734
KS,2008,2808076
KY,2008,4289878
LA,2008,4435586
ME,2008,1330509
MD,2008,5684965
MA,2008,6468967
MI,2008,9946889
MN,2008,5247018
MS,2008,2947806
MO,2008,5923916
MT,2008,976415
NE,2008,1796378
NV,2008,2653630
NH,2008,1315906
NJ,2008,8711090
NM,2008,2010662
NY,2008,19212436
NC,2008,9309449
ND,2008,657569
OH,2008,11515391
OK,2008,3668976
OR,2008,3768748
PA,2008,12612285
RI,2008,1055003
SC,2008,4528996
SD,2008,799124
TN,2008,6247411
TX,2008,24309039
UT,2008,2663029
VT,2008,624151
VA,2008,7833496
WA,2008,6562231
WV,2008,1840310
WI,2008,5640996
WY,2008,546043
AL,2013,4830460
AK,2013,737045
AZ,2013,6634999
AR,2013,2959549
CA,2013,38280824
CO,2013,5270482
CT,2013,3594915
DE,2013,923638
DC,2013,650431
FL,2013,19563166
GA,2013,9973326
HI,2013,1408453
ID,2013,1611530
IL,2013,12898269
IN,2013,6568367
IA,2013,3093078
KS,2013,2893510
KY,2013,4404817
LA,2013,4624577
ME,2013,1328196
MD,2013,5923704
MA,2013,6713944
MI,2013,9913349
MN,2013,5413693
MS,2013,2988797
MO,2013,6040658
MT,2013,1013564
NE,2013,1865414
NV,2013,2776972
NH,2013,1326408
NJ,2013,8858362
NM,2013,2092792
NY,2013,19628043
NC,2013,9843599
ND,2013,721999
OH,2013,11576576
OK,2013,3853205
OR,2013,3922908
PA,2013,12776621
RI,2013,1055122
SC,2013,4764153
SD,2013,842270
TN,2013,6493432
TX,2013,26489464
UT,2013,2897927
VT,2013,626212
VA,2013,8253053
WA,2013,6962906
WV,2013,1853873
WI,2013,5736952
WY,2013,582123
AL,2014,4842481
AK,2014,736307
AZ,2014,6733840
AR,2014,2967726
CA,2014,38625139
CO,2014,5351218
CT,2014,3594783
DE,2014,932596
DC,2014,662513
FL,2014,19860330
GA,2014,10069001
HI,2014,1414862
ID,2014,1631479
IL,2014,12888962
IN,2014,6593533
IA,2014,3109504
KS,2014,2900896
KY,2014,4414483
LA,2014,4644204
ME,2014,1330760
MD,2014,5958165
MA,2014,6763652
MI,2014,9930589
MN,2014,5451522
MS,2014,2990623
MO,2014,6056293
MT,2014,1021891
NE,2014,1879522
NV,2014,2819012
NH,2014,1333223
NJ,2014,8866780
NM,2014,2090342
NY,2014,19656330
NC,2014,9933944
ND,2014,737382
OH,2014,11602973
OK,2014,3878367
OR,2014,3964106
PA,2014,12789101
RI,2014,1056017
SC,2014,4823793
SD,2014,849088
TN,2014,6540826
TX,2014,26977142
UT,2014,2937399
VT,2014,625218
VA,2014,8312076
WA,2014,7052439
WV,2014,1849467
WI,2014,5751974
WY,2014,582548